adjust,ajt,VERB,adjusts,adjusted,adjusting
shopping,shin,NOUN,shoppings,,
fear,,NOUN,fears,,
comic,comi,NOUN,comics,,
cave,,NOUN,caves,,
subsequently,suet,ADV,,,
present,,NOUN,presents,,
bright,biht,ADJ,,,
fourth,fuh,ADJ,,,
excite,exci,VERB,excites,excited,exciting
waste,wate,NOUN,wastes,,
leadership,lads,NOUN,leaderships,,
territory,tiy,NOUN,territories,,
index,ix,NOUN,indices,,
award,awrd,VERB,awards,awarded,awarding
Japanese,jn,ADJ,,,
soft,soft,ADJ,,,
wine,wine,NOUN,wines,,
composition,cosi,NOUN,compositions,,
pilot,piot,NOUN,pilots,,
sheet,,NOUN,sheets,,
range,,VERB,ranges,ranged,ranging
dress,drs,VERB,dresses,dressed,dressing
shoot,,VERB,shoots,shot,shooting
sing,sing,VERB,sings,sung,singing
eliminate,eliat,VERB,eliminates,eliminated,eliminating
Sources,surc,NOUN,Sourcess,,
expedition,extn,NOUN,expeditions,,
prisoner,pisn,NOUN,prisoners,,
carefully,cuy,ADV,,,
opening,oeni,NOUN,openings,,
nearby,nary,ADJ,,,
suitable,stab,ADJ,,,
debate,deba,NOUN,debates,,
at,,SCONJ,,,
blog,,NOUN,blogs,,
afternoon,aftr,NOUN,afternoons,,
accompany,acmn,VERB,accompanies,accompanied,accompanying
injure,ije,VERB,injures,injured,injuring
alcohol,acoh,NOUN,alcohols,,
test,,VERB,tests,tested,testing
flow,,VERB,flows,flowed,flowing
hall,,NOUN,halls,,
coffee,cofe,NOUN,coffees,,
spirit,spirt,NOUN,spirits,,
emission,emis,NOUN,emissions,,
relative,reav,ADJ,,,
creation,creat,NOUN,creations,,
conclude,cnle,VERB,concludes,concluded,concluding
portion,prtn,NOUN,portions,,
enemy,enmy,NOUN,enemies,,
earth,,NOUN,earths,,
ingredient,iget,NOUN,ingredients,,
lift,lft,VERB,lifts,lifted,lifting
angle,angle,NOUN,angles,,
tissue,tisue,NOUN,tissues,,
description,desc,NOUN,descriptions,,
album,abm,NOUN,albums,,
match,,VERB,matches,matched,matching
occupy,ouy,VERB,occupies,occupied,occupying
constant,cnsta,ADJ,,,
beneficial,beia,ADJ,,,
stick,,NOUN,sticks,,
atmosphere,atmh,NOUN,atmospheres,,
impossible,imb,ADJ,,,
admit,adit,VERB,admits,admitted,admitting
accurate,aute,ADJ,,,
department,datn,NOUN,departments,,
peak,peak,NOUN,peaks,,
output,outp,NOUN,outputs,,
regard,,NOUN,regards,,
duty,duy,NOUN,duties,,
sand,,NOUN,sand,,
local,,NOUN,locals,,
websites,wesi,NOUN,websitess,,
colony,coln,NOUN,colonies,,
skin,skn,NOUN,skins,,
distribute,dsb,VERB,distributes,distributed,distributing
satisfy,saty,VERB,satisfies,satisfied,satisfying
pathway,phy,NOUN,pathways,,
propose,,ADJ,,,
advice,avic,NOUN,advice,,
cable,cbe,NOUN,cables,,
boundary,bon,NOUN,boundaries,,
plate,plt,NOUN,plates,,
residential,resti,ADJ,,,
construct,cstu,VERB,constructs,constructed,constructing
wild,wil,ADJ,,,
proud,prou,ADJ,,,
sex,sx,NOUN,sexes,,
CHAPTER,chatr,NOUN,CHAPTERs,,
transfer,,VERB,transfers,transferred,transferring
hundred,hun,NOUN,hundreds,,
biography,boh,NOUN,biographies,,
maximum,miu,ADJ,,,
recipe,rcip,NOUN,recipes,,
celebrate,celat,VERB,celebrates,celebrated,celebrating
indicator,icor,NOUN,indicators,,
valley,vey,NOUN,valleys,,
climb,cib,VERB,climbs,climbed,climbing
supporter,suot,NOUN,supporters,,
closely,csel,ADV,,,
frame,frme,NOUN,frames,,
experimental,erim,ADJ,,,
advance,,NOUN,advances,,
afraid,afd,ADJ,,,
block,,VERB,blocks,blocked,blocking
illegal,iega,ADJ,,,
monitor,mitr,VERB,monitors,monitored,monitoring
sector,sectr,NOUN,sectors,,
click,,VERB,clicks,clicked,clicking
separate,,VERB,separates,separated,separating
assistance,asitc,NOUN,assistances,,
thin,thin,ADJ,,,
obviously,oul,ADV,,,
circumstance,cima,NOUN,circumstances,,
entirely,enry,ADV,,,
scientific,sefi,ADJ,,,
castle,castl,NOUN,castles,,
clothing,cthn,NOUN,clothings,,
cut,,NOUN,cuts,,
matrix,max,NOUN,matrices,,
struck,srk,VERB,strikes,struck,striking
qualify,,VERB,qualifies,qualified,qualifying
hurt,hur,VERB,hurts,hurt,hurting
plenty,pny,NOUN,plenties,,
wash,wash,VERB,washes,washed,washing
please,ple,VERB,pleases,pleased,pleasing
neither,nehr,ADV,,,
yellow,yew,ADJ,,,
progress,pge,NOUN,progress,,
accessible,acesi,ADJ,,,
argue,arue,VERB,argues,argued,arguing
practice,,VERB,practices,practiced,practicing
technical,tehna,ADJ,,,
emerge,emrg,VERB,emerges,emerged,emerging
prominent,pmn,ADJ,,,
mistake,mtk,NOUN,mistakes,,
contract,cntra,NOUN,contracts,,
framework,fk,NOUN,frameworks,,
mode,,NOUN,modes,,
lip,lip,NOUN,lips,,
circle,,NOUN,circles,,
partner,parn,NOUN,partners,,
eastern,easrn,ADJ,,,
upper,uper,ADJ,,,
operator,oeat,NOUN,operators,,
professor,pfs,NOUN,professors,,
thick,tik,ADJ,,,
very,,ADJ,,,
efficient,efit,ADJ,,,
expansion,exas,NOUN,expansions,,
fairly,fay,ADV,,,
innovation,inva,NOUN,innovations,,
typical,ticl,ADJ,,,
prior,pior,ADV,,,
mine,,NOUN,ours,,
filter,fitr,NOUN,filters,,
disorder,diso,NOUN,disorders,,
enzyme,,NOUN,enzymes,,
doubt,dub,NOUN,doubts,,
craft,caft,NOUN,crafts,,
coverage,crg,NOUN,coverages,,
infrastructure,ifae,NOUN,infrastructures,,
afterwards,afes,ADV,,,
severe,svr,ADJ,,,
priest,piest,NOUN,priests,,
rice,,NOUN,rice,,
fight,fiht,VERB,fights,fought,fighting
apparently,anty,ADV,,,
log,log,NOUN,logs,,
1st,,ADJ,,,
tape,,NOUN,tapes,,
attribute,atib,VERB,attributes,attributed,attributing
dress,,NOUN,dresses,,
rebel,,NOUN,rebels,,
imagine,img,VERB,imagines,imagined,imagining
respect,,VERB,respects,respected,respecting
sexual,sxa,ADJ,,,
brand,bnd,NOUN,brands,,
earn,,VERB,earns,earned,earning
flat,flat,ADJ,,,
painter,pner,NOUN,painters,,
display,,NOUN,displays,,
rule,,VERB,rules,ruled,ruling
whole,,NOUN,wholes,,
colour,cour,NOUN,colours,,
slave,sav,NOUN,slaves,,
fighting,fhtn,VERB,fights,fought,fighting
rare,,ADJ,,,
usual,usal,ADJ,,,
avd,,NOUN,avds,,
transmission,tsmi,NOUN,transmissions,,
cat,,NOUN,cats,,
particle,patie,NOUN,particles,,
athlete,athl,NOUN,athletes,,
maintenance,mint,NOUN,maintenances,,
scientist,sceti,NOUN,scientists,,
domestic,dosc,ADJ,,,
reportedly,roty,ADV,,,
fault,fau,NOUN,faults,,
primarily,pmr,ADV,,,
promise,pms,VERB,promises,promised,promising
stable,sabe,ADJ,,,
knife,kie,NOUN,knives,,
instrument,itru,NOUN,instruments,,
effectively,ectv,ADV,,,
abuse,ause,NOUN,abuses,,
regime,rgm,NOUN,regimes,,
tie,,VERB,ties,tied,tying
nomination,noma,NOUN,nominations,,
invest,inest,VERB,invests,invested,investing
extensive,exts,ADJ,,,
criterion,crite,NOUN,criteria,,
less,,ADJ,,,
alternative,,ADJ,,,
Indian,,ADJ,,,
hate,,VERB,hates,hated,hating
comment,,VERB,comments,commented,commenting
storm,stom,NOUN,storms,,
damage,,VERB,damages,damaged,damaging
classification,clsi,NOUN,classifications,,
storage,sage,NOUN,storages,,
command,cand,NOUN,commands,,
highway,hiwa,NOUN,highways,,
radio,radi,NOUN,radios,,
tall,,ADJ,,,
correlation,cltn,NOUN,correlations,,
strain,stran,NOUN,strains,,
human,,NOUN,humen,,
tank,tnk,NOUN,tanks,,
east,,ADV,,,
long-term,lgt,NOUN,long-terms,,
guest,gest,NOUN,guests,,
equal,eual,ADJ,,,
limitation,liao,NOUN,limitations,,
resolve,rov,VERB,resolves,resolved,resolving
beauty,bey,NOUN,beauties,,
depth,dth,NOUN,depths,,
solar,sola,NOUN,solars,,
disaster,disae,NOUN,disasters,,
shoulder,shue,NOUN,shoulders,,
creature,crue,NOUN,creatures,,
editor,eito,NOUN,editors,,
sufficient,suen,ADJ,,,
sustainability,suy,NOUN,sustainabilities,,
credit,cdit,NOUN,credits,,
profit,prf,NOUN,profits,,
diverse,dvs,ADJ,,,
fink,fik,VERB,finks,finked,finking
victory,vty,NOUN,victories,,
while,,NOUN,whiles,,
